code,text,helperText,type,options,category,isActive
SHARING_BILLS_WHEN,When do you pay bills?,,single_choice ,"[""Pay immediately"",""Pay by due date"",""Pay when we get around to them""]",Sharing / Expenses,FALSE
SHARING_BILLS_WHO,How should we pay utilities?,,single_choice ,"[""Split costs evenly"",""Separate utility expenses (e.g. One pays for electricity, one pays for internet)""]",Sharing / Expenses,TRUE
SHARING_BELONGINGS,What are your thoughts on sharing and borrowing?,,single_choice ,"[""Let’s share everything, no need to ask"",""You can probably borrow my stuff, just ask first"",""I won’t say no in an emergency (I prefer to not share)"",""Sorry, I don’t ever lend my stuff to others""]",Sharing / Expenses,TRUE
SHARING_COMMON_USE_ITEMS,How should we share common-use items?,,single_choice ,"[""Take turns buying"",""Split costs evenly"",""Buy our own items separately""]",Sharing / Expenses,TRUE
SHARING_COMMON_FOOD_ITEMS,How should we share common food items?,,single_choice ,"[""Take turns buying"",""Split costs evenly"",""Buy our own items separately"",""Split costs for common meals, buy the rest separately""]",Sharing / Expenses,TRUE
CLEANLINESS_ME,How tidy do you keep shared spaces?,,single_choice ,"[""Could eat off the floor"",""Everything is tidy"",""Slightly messy"",""Where's the floor?""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_BATHROOM,What’s your bathroom like?,,single_choice ,"[""Spotlessly clean - daily tidy"",""Pretty good - weekly clean"",""Not bad - monthly clean"",""Not sure - no cleaning products""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_KITCHEN,What’s your kitchen like?,,single_choice ,"[""Always sparkling clean"",""Clean and mostly tidy"",""Good luck finding stuff"",""Salmonella’s best friend""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_DISHES,How do you handle dishes?,,single_choice ,"[""Washed, put away daily"",""Washed, dry overnight"",""Wash in morning after overnight soak"",""Wash only when everything else is dirty""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_ROTATION,How will we handle cleaning?,,single_choice ,"[""Rotate cleaning assignment"",""Permanent cleaning assignment"",""Decide when need for cleaning arises""]",Cleanliness / Upkeep,TRUE
CLEANLINESS_FREQUENCY,How often will you do your share of cleaning?,,single_choice ,"[""Daily"",""Weekly"",""Bi-weekly"",""Once a month"",""When desired""]",Cleanliness / Upkeep,FALSE
LIFESTYLE_HOUSE_TYPE,Preferred Housing,,single_choice ,"[""House only"",""House or apartment only"",""Dorm is ok""]",Lifestyle,FALSE
LIFESTYLE_ROOM_SHARING,Room sharing,,single_choice ,"[""I am willing to share a room with bunk beds if it brings costs down"",""A shared room with enough space for 2 separate beds is ok"",""I will not share a room""]",Lifestyle,FALSE
LIFESTYLE_HOUSE_OCCUPANCY,Shared space,,single_choice ,"[""I'm fine if all main  rooms are used as bedrooms (Only the kitchen and bathroom are shared)"",""There needs to be at least one common living room"",""There needs to be at least a dining room and living room""]",Lifestyle,FALSE
